[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
电脑外设电源自能通插座,机械与控制,龙岩学院,"以STC15F104E单片机为控制核心，多方式控制继电器的吸合与释放,继而多模式控制插座电源的通断；默认为开机通模式，当用户关掉电脑后，可自行帮助用户自动关掉各种电脑外设，可解决用户使用完电脑后需要手动关闭电脑外设的麻烦，也可以避免用户用完电脑忘记关掉各种电脑外设，造成电能的浪费。还可以选择为定时通模式，定时控制电源插座的通电；还可以选择为常通模式，当作普通电源插座使用。"
图像检测与处理的单模光纤自动耦合系统设计,机械与控制,北方民族大学,在全光纤转动拉曼测温激光雷达中，由于所用的分光系统主要由光纤器件来构成，因此连接分光系统与望远镜之间的光纤就必须使用单模光纤。本课题围绕研究目标，利用模式匹配理论，对新型非相干全光纤激光雷达系统中单模光纤耦合的关键技术展开理论分析，提出了利用组合透镜结合自聚焦透镜实现高效耦合的方法，并展开相关实验研究，为全光纤激光雷达的实现和应用提供了可行的技术方案和技术储备。
基于车联网的在途车队集中监测与应急通信系统,机械与控制,西安邮电大学,在车联网的框架下，通过对在途车队中各车辆状态信息(含人、车、货)全面监测、数据存储与集中监控，加强车队车辆监测和提高事后处理水平；在异常情况及突发紧急情况下，以ZigBee通信方式向本车网络覆盖范围内的车辆发出求救报警或警报信息。
基于磁开关的新型紧凑重复频率脉冲倍增器,机械与控制,西安交通大学,本项目提出一种基于磁开关和Fitch结构的新型紧凑重频脉冲倍增器(CoupledMagneticSwitchbasedFitchBoosterorCMSFB)，功能为倍增电压幅值、压缩电压上升时间、增强系统紧凑性、实现高重复频率工作。本技术将CMSFB级联于脉冲变压器与磁开关电路之间，从而降低整个系统对脉冲变压器变比、磁压缩电路上升时间压缩比的要求，实现脉冲功率系统的紧凑化。
基于体感识别技术的搬运机器人,信息技术,内蒙古科技大学,本项目上位机是在Linux操作系统下，采用Kinect传感器捕捉到人体的深度图像，在openNI库中提取出人的骨骼点和空间坐标，并通过空间向量算法计算出机器人各关节舵机所需的角度，通过无线模块发送至下位机，使机器人完成上半身的随动动作，以搬运物体，这极大地扩展了机器人的使用空间。机器人行走是用Android手机端的重力感应来控制其前进、后退、左转、右转的动作。
基于多重校验算法的动态加密狗系统,信息技术,中国民航大学,基于多重加密算法的动态加密狗系统，主要是通过存储多组经过不同加密算法加密后的验证令牌，在一次一密的高安全强度动态信道下传输验证，完成用户身份合法性的校验。系统提供了快速开发模式下的系统高安全强度解决方案，构架时充分考虑了系统自身的可扩展性和应用范围，通过协议作为各组成部件间的耦合手段，对外开放一套简易的跨语言开发接口。
DreamGuide--智能导引车,信息技术,中国人民解放军国防科学技术大学,本DreamGuide智能导引车以基于无源RFID的室内定位导航技术为核心，以Android平台为人机交互媒介。用户取得导引车后，语音输入目标点，确定要前往的位置，导引车即带领用户前往目标点。行进过程中自动探测前方障碍区域并进行路线调整。导引车到达目标点后，自动停下，并发出提示声音。整个系统具有良好的可扩展性，应用领域广阔。
Water7图形应用程序开发框架的设计与实现,信息技术,中国地质大学(北京),Water7是基于3D图形加速技术的通用应用程序开发框架。框架拥有完全自主设计的算法和架构，兼备快速的开发效率与高效的运行性能特性，通过对底层图形接口进行封装，让开发人员在轻松实现界面的渲染功能。本框架使用简捷、稳定、支持复杂图形效果绘制等特点，拥有传统方法30倍以上的效率。框架具有较高的实用性和应用前景，已经应用Water7框架进行开发多款应用软件，游戏和软件在图像显示方面不再有不可跨越的鸿沟。
基于智能手机的动作识别系统的研究与应用,信息技术,琼州学院,本作品通过国内外人体动作识别技术以及相关应用研究现状的基础上，研究基于智能手机动作识别的算法及模型，并且建立起一套完整的基于智能手机的动作识别系统（引擎），最后基于Android系统开发相关应用，如：乒乓球运动、拳击运动、简单的舞蹈等游戏。研究识别技术和人工智能在智能手机上的应用，让我们的手机更加智能，让我们对手机的操作方式更加灵活与多样。
实验现场评分系统,信息技术,昆明理工大学,该系统由上位机和终端机组成，上位机包含PC机和无线模块，PC机安装接收处理数据的上位机软件，评分数据以EXCEL文件形式导出；终端机以单片机为开发平台，结合无线模块、键盘、LCD显示构成；使用无线通信的方式将终端机评定的成绩发送到上位机。利用无线完成终端机向上位机无线传输评分信息的功能，简化了系统通信连线，扩展了终端机活动使用的空间，从而实现实验评分的无纸化，能够高效的完成实验现场评分工作。
基于Android应用平台开发的农业信息数据监测及控制的智能农业移动中继,信息技术,黑龙江八一农垦大学,智能农业移动中继是基于Android应用平台开发的一款水稻生长远程监控软件，可安装在手持设备上，通过网络对农业生产进行实时监测和控制。可随时查看水稻生长情况，远程控制格田和育秧大棚的入排水、微喷和卷帘。同时，该设备还具有数据中继功能，可实现数据的转发。目前，已经应用在黑龙江垦区前进农场，效果较好。
基于固定翼航模的道路交通信息采集与分析系统,机械与控制,东南大学,面对交通信息采集存在着获取难度大、成本高、精度低等诸多问题，本作品设计用于道路交通观测的航模系统，实现了航空模型的自主飞行功能，使其能实时高空监测目标区域的交通状况。同时，基于MFC以及OpenCV平台，开发了与航模系统相匹配的坐标及轨迹提取软件，软硬件协同运行实现了交通数据采集与分析功能。本作品在北京市和南京市进行了实例应用，结果表明整个系统运行稳定，有良好的应用前景。
基于Android系统的西瓜无损检测算法及软件开发,生命科学,东北农业大学,一款基于Android系统下的西瓜无损检测的智能手机软件，只需要将手机贴在西瓜上，敲击西瓜6~8次，软件会自动进行背景降噪，自动进行特征值得提取，从而进行西瓜成熟度的判别。可快速准确对西瓜成熟度进行无损检测，可随身携带，真正落实集成实用化、智能化与准确性于一体，真正将西瓜无损检测技术从实验室推广到大众生活中，适用于瓜农、水果超市以及消费者，是一款居家必备之软件。
“运腹通经”法治疗Ⅱ型糖尿病的适宜技术与社区医疗服务推广,生命科学,长春中医药大学,随着人们的物质生活水平不断的提高，饮食结构的改变，运动的减少，致使Ⅱ型糖尿病发病率逐年增加，在治疗本病时因药物治疗易产生依赖性，因此中医推拿绿色疗法预防与治疗Ⅱ型糖尿病受到公众的认可。由于中医推拿疗法专业性程度相对较高，多在医院进行，故如何使这一疗法符合现代人方便、快捷、时尚的要求，使其走向社区，走进家庭，已成为当代中医工作者研究主流方向，“运腹通经”法治疗Ⅱ糖尿病就是其中的典型代表。
空调清洁及加湿节能装置,机械与控制,广东技术师范学院,本作品立足于普通空调制冷过程过滤网灰尘堆积且难清洗、室内干燥、室外机散热效率低的问题，提出并实现了以下技术改进：1.通过单片机控制过滤网清洗模块，对过滤网进行免拆卸的自动清洗，保证空调工作中空气更清新；2.采用超声波雾化技术对冷凝水雾化，通过单片机控制达到湿度的相对平衡；3.利用冷凝水在室外机蒸发汽化，辅助风冷散热，带走散热片的热量，从而提高散热效率。充分利用空调冷凝水，实现了现有空调的技术升级。
快递自动存取系统,信息技术,广东技术师范学院,快递员将快件送至指定寄存站点，将快件存放至站点的空储物箱里，并输入客户手机号码以设置密钥，系统将以短信形式通知客户到指定站点凭密钥取件。寄件系统:我们每个储物箱底部都装有电子称重模块，可按照不同物流公司的收费标准，对快件进行称重计费。客户以投币或刷卡方式进行付费。同时，GPRS联网，和远程服务器进行通信
高强韧性Y2O3透明陶瓷的低温制备,能源化工,南昌航空大学,Y2O3透明陶瓷具有优异的光-热-机综合性能，在航空航天、国防工业、高温技术具有重要应用。国内外制备Y2O3透明陶瓷普遍存在烧结温度过高，保温时间过长，无法实现其产业化；且强韧性不高，无法满足应用要求。鉴此，创新性通过采用掺杂稀土和H2气氛微波烧结方式促进烧结、细化晶粒、降低烧结温度，获得晶粒细小、高强韧性和高透光率的Y2O3透明陶瓷。
绿色环保节能型远红外多功能无烟烤炉,能源化工,新疆农业大学,本产品属于食品加工设备领域。不同于传统铁皮烤炉，是改进的，多功能无烟烤炉。其主要结构包括半自动控制面板、红外发热装置、开水壶炉子、水箱、冷藏柜等部分。本烤炉在保证肉类食品品质不变的情况下，能快速并大量的加工待烤食品，对空气没有污染。与传统铁皮烤炉比较具有较高工作效率、节能、环保、成本低、多功能等特点。该烤炉构造比较简单，实用起来也很方便，具有新疆民族特色手工工艺特点，外观更美
新型高性能镍基导电浆料的研发,能源化工,江苏大学,该作品有效利用醋酸镍等易得、廉价原料，采用常压液相还原法制出致密型镍粉，置换法制得镍-银核壳结构的微纳米粒子，以此为导电相制成导电浆料以替代目前市售贵金属导电浆料。镍银双金属粉具有导电性较好的内层致密镍核和抗氧化性较强的银壳层，二者优异性能互补，同时双金属粉中镍能有效抑制导电浆料中银的迁移，既实现了导电浆料的性能优化，又降低了生产成本，同时也为Cu、Al等其他贱金属基导电浆料的制备提供示范作用。
多功能拉绳训练器,机械与控制,贵州民族大学,多功能拉绳训练器，本训练器与传统的健身器和训练器相比共有6个创新点，在健身方面通过本训练器可以锻炼到以下肌肉：小腿肌肉、大腿各处肌肉、髋关节处肌肉、腰腹部肌肉、胸背部肌肉、肩部和颈部肌肉、手臂各处肌肉。可以对田径、篮球、足球、排球、网球、武术、划船、羽毛球高尔夫球、游泳、少数民族体育等项目进行专项力量和动作的训练。适用于学生健身、健身房健身、家庭健身和各种训练队训练。
蓄电池智能监控系统,机械与控制,东北大学秦皇岛分校,蓄电池使用寿命短一直是蓄电池储源行业发展所面临的重大问题，本系统本着延长蓄电池使用寿命的原则，对蓄电池组进行智能充放电控制，并通过测试蓄电池组的性能来找出落后单体电池，实现优良蓄电池重组。
一种新型匀胶机的设计与实现,机械与控制,西北大学,匀胶机是半导体光刻技术中涂覆光刻胶和利用溶剂-凝胶法制备薄膜的必备仪器，目前国内外的匀胶机均使用真空泵抽气的原理来固定基片，吸附胶体造成机器堵塞和基片易脱落是当前匀胶机的主要缺点。新型匀胶机在原有吸片式匀胶机的基础上设计了一种全新的基片固定装置，无需使用真空泵，彻底解决的匀胶机吸附胶体和基片易脱落的缺点。并且新型匀胶机操作更简单更安全，易清洗维护，成本为现有匀胶机的十分之一。
烟雾监测灭火机器人,机械与控制,新疆工程学院,烟雾监测灭火机器人是一种可以进行自动巡检报警的灭火机器人。包括硬件制作和软件开发。硬件包括控制器模块、传感器模块（烟雾及火焰传感器、红外传感器、图像传感器）、无线通信模块、电机驱动模块、电源模块、灭火装置。软件方面，编写了在机器人上运行的应用程序，开发了上位机软件，基于蓝牙技术建立了与上位机的无线通信系统。该装置弥补了固定式消防检测传感器存在检测死角的缺陷，兼有视频实时监测和自动灭火的功能。
七工位便携式快速破障装置,机械与控制,东北林业大学,七工位便携式快速破障装置具有锯切、剪断、扩张、钻孔、冲击、牵引等功能。该机在大型破拆工具无法使用的情况下，可以应用于地震、交通事故等救援现场的临时破拆工作。该机将多种破拆工具组合在一起，实现了破拆工具的集成化。采用汽油机作为动力源可以保证输出功率，同时也满足方便携带的使用要求。
浪溅区腐蚀环境模拟箱,机械与控制,海南大学,浪溅区腐蚀环境模拟箱是由计算机控制并在人工模拟浪花飞溅区环境条件下，来检测零部件、金属材料及防护层等工业产品耐腐蚀性能的装置。本装置由计算机、控制系统、传动装置、摄像头、循环海水模拟系统、热吹风装置、主箱体等主要部分构成；使用VB.2010开发了用户界面，利用计算机串口发送控制指令，从而实现本装置高度自动化及智能调节功能。制作成本为434.1元，预算投资回报率为692.9%。
高楼逃生自助缓降器,机械与控制,安徽工业大学,本装置是针对目前高层建筑发生火灾时的人员逃生工具。它由双擒纵机构、摩擦销和调速机构及上下压板等结合构成，具有体积小，重量轻，安装和使用方便，成本低等特点，逃生者在自身重力的作用下就能够匀速下滑，摒弃了传统靠电力控制、安装不方便、成本高的高楼逃生装置的缺点，保证不同体重的人（15～200kg）以0.4—1.5m/s的速度着陆，实现高楼安全逃生。本装置具有广阔的市场前景，较大的经济价值和社会效益。
金属矿山大型溢流型球磨机节能降耗改造研究,机械与控制,江西理工大学,球磨机的节能降耗改造适用于金属矿山粗磨大型溢流型球磨机，特别是球磨机给料端与排料端粒度差异较大，球磨机中粒度分布减小幅度较大与球磨机中钢球基本均匀分布矛盾突出的球磨机，具有良好的节能降耗效果。
基于SPCE061A单片机智能灭火小车设计,信息技术,陇东学院,本设计以SPCE061A单片机为控制核心，以小车作为载体，加以火焰传感器检测系统、超声波传感器避障系统、灭火风扇以及其他电路实现。单片机处理由火焰传感器、超声波传感器采集的信号，控制小车驱动转向前进以及风扇灭火，电源电路提供系统所需的工作电压。整个系统的电路简单，可靠性好，易于实现。
趣味地图II用心编写世界,信息技术,四川托普信息技术职业学院,当前青少年学习地理知识存在交互性差，不能吸引他们的学习兴趣和热情，而“趣味地图II—用心编写世界”是专为学习地理知识开发的一款可以用于win8、android、IOS平台的教育类触控游戏软件。目前能够对中国34个省、266个国家的地形、地位进行拼玩，拥有1000余套趣味地理试题、20余个关卡游戏，其中配备了大量的真人发音、美妙的背景音乐、生动的动画效果使游戏精彩、有趣，达到寓教于乐的效果。
叉车培训考核系统,信息技术,巢湖学院,物流、工程等行业迅速发展加大对叉车作业人员的数量和素质要求。在叉车培训行业快速兴起的同时，叉车驾驶培训过程中，翻车、撞车等损害他人和自身生命财产安全的事故时常发生。该作品可使学员在保障安全的情况下能真实、便捷地了解使用规范、体验叉车实际操作过程。
智能汽车自控雾灯的设计与制作,信息技术,青海民族大学,通过光敏电阻控制4011的关闭与导通，应用单片机作为核心控制然后由继电器来控制雾灯的导通与关闭。无需操作、结构简单、性价比高，能见度的大小控制光敏电阻的大小从而能够自动控制雾灯的开启。
基于锁相环控制的红外监控视频甲丙类无线传输装置,信息技术,福建工程学院,"基于锁相环控制的红外监控视频甲丙类无线传输装置，它由单片机及其显示电路、锁相环电路、调制电路、甲丙类功率放大器、红外热释电传感器、驱动电路六个部分组成。其高频放大电路采用单调谐回路进行放大，末级采用甲丙类功率放大，以实现对视频信号高效的无线传输,发射频率稳定度可达高，输出功率可达0.85w；信号可穿越山河、危险作业区、公共场合的视频监控区域，具有一定的实用价值和市场推广潜力。"
粮仓分布式无线网络温湿度监测控制系统,信息技术,伊犁师范学院,本系统由环境参数数据采集模块（温湿度采集模块、时钟模块、A/D转换模块）、单片机、存储器、数码管显示、继电器控制模块、无线传输模块、计算机（远程显示）以及电源组成。温度和湿度的采集由传感器实现，再将采集到的信号送入单片机中，由单片机控制数码管显示，并通过无线网络传输至计算机显示当前所测得的温度和湿度并存储，当温湿度超过或低于预设值时将触发蜂鸣器及继电器控制模块。
打开咬合矫治器,生命科学,海南医学院,上颌平面导板是打开咬合的常用矫治器，但可造成上颌前牙唇向倾斜，bite-bumper打开咬合效果好但影响患者进食。将平面导板粘接在透明牙套上，透明牙套再戴在牙齿上而成打开咬合矫治器，它克服了以上两种矫治器的缺点，发挥他们的优点，能压低下颌前牙，又能压低上颌前牙，患者可自己取戴，不影响进食，团队成员和同学试用效果良好。因可批量生产，“打开咬合矫治器”在临床上广泛推广是完全可以实现的。
一种含天然成分提取物的嫩白精华乳液及其制备方法,生命科学,皖南医学院,本乳液呈乳白色，稠度适宜，轻盈水润，细腻均匀，光亮白皙，涂展性良好、气味芬芳，能补充肌肤需要的营养、水分，调节皮肤免疫功能，增强皮肤抵御外界刺激，改善皮肤血液循环，促进新陈代谢，使皮肤美白，充满弹性、柔软。本品使用温和舒适，有良好的滋润、保湿、嫩肤、美白的功效，用后皮肤有弹性，白皙。天然营养嫩肤物质的加入，使护肤美白变得更安全有效。
酶联合消化法在原代细胞培养中的应用价值,生命科学,川北医学院,本项目采用低浓度胰蛋白酶联合I型胶原酶消化法获取原代细胞，这种方法不仅可避免因胰蛋白酶处理时间长而导致细胞破损，又可使胶原酶降解胶原结缔组织对细胞的阻碍作用，缩短了原代细胞获取周期，获得的细胞纯度高，细胞接种后活力良好，生长增殖能力较强，可在短时间内为后续实验提供大量的细胞材料，保证科研实验的顺利进行，而该方法在国内目前应用还未广泛开展。
实用型油汀太阳能加热器设计,能源化工,青海师范大学,实用型油汀太阳能加热器是将原有的太阳能热水器的以水作为导热介质改为以油作为导热介质，并按照导热油的特性进一步改进完善而设计成的一种更高效，更环保，更安全，适用范围更广的太阳能利用设备。以油做导热介质有加热速度快，保温效果好，温度上限高（100°C以上），低温无冻裂，器件使用寿命长，可作为独立热源使用等优点。
商用厨房油烟净化及余热利用系统,能源化工,大连交通大学,“商用厨房油烟净化及余热利用系统”是一款为了减少油烟污染和能量浪费的装置。本装置主要利用净化效率最高的复合净化模式，同时采用热泵源系统对油烟余热进行再次利用，达到了“节能减排”的目的。主要适用于酒店、工厂、学校等的大型食堂，也适用于家庭用户。目前，市场上抽油烟机性能单一，无集油烟净化与余热处理为一体的油烟机，该市场基本处于空白，因而本装置具有很强的先进性及创新性，市场发展前景很大。
动车制动废热回收装置,能源化工,华东理工大学,"动车组在包括地铁轻轨运输、市郊运输和短处城际运输的短途运营过程中需要较为频繁地启动加速和制动。大量动能在摩擦制动过程中转化为热能而白白耗散。动车组制动废热回收装置通过自己设计的安装在制动闸片内层的热管，将制动废热回收，而后通过温差发电模块将热能转换为电能，经过充电保护、稳压控制电路，以USB的形式将电能输出至动车上的乘客座位边,实现即充即用。"
一种营养果冻及其制备方法,能源化工,贵州大学,"本作品以鸡蛋与米醋制成醋蛋液,通过现代加工技术,将醋蛋液制成凝胶态果冻。在单因素试验基础上设计正交试验对醋蛋果冻的配方及工艺进行优化。通过感官评定和理化指标评价产品品质。表明：鸡蛋在米醋中浸泡24h制成醋蛋液，以醋蛋液，复配胶，蜂蜜，混合加工处理,制得富有弹性,质地均匀,酸甜可口,赋有香味，晶莹透亮并具有补充钙质，促进新陈代谢，防止“三高”减肥美容，延缓衰老等功效的一种营养果冻，产品以获授权专利。"
现代互联网信息管理平台--面向用户服务的智能XML检索系统,信息技术,东北大学,本作品针对现有技术难以为用户提供智能服务且查询效率低下的问题，研发了能通过查询意图推理来提供智能服务的XML检索系统。智能XML检索系统具有跨平台跨系统的特点，其在获得高质量服务同时降低了用户使用负担。本作品在设备中无需配置传统商业数据库，因此更具成本优势。可预测，面向用户服务的智能XML检索系统在投入电子商务和搜索引擎市场后将迅速占领市场并最终为整个社会带来巨大经济效益。
新型脂溶性食品抗氧化剂咖啡酸丙酯的微流控酶促合成,生命科学,江苏科技大学,近年来，食品抗氧化剂的安全性问题日趋成为国内外关注食品安全的焦点之一。在油脂食品工业中，一直使用的TBHQ等化学合成的抗氧化剂有潜在的致癌性。因此，长期以来人们致力于寻找天然来源、安全高效的脂溶性抗氧化剂来替代化学合成品。本作品设计筛选的新型脂溶性抗氧化剂咖啡酸丙酯，抗氧化性强，安全抗癌，适用于油脂性食品；建立的微流控酶促合成工艺省事、高产、节能，为其工业化应用提供技术依托。
矿用多电平智能电源,机械与控制,湖南科技大学,本作品由可控硅整流电路、全桥逆变电路、高频变压器、输出整流电路和基于ARM微处理器的测控系统组成，可直接输入120-1200V的交流电，经自适应调节电源参数得到所需工作电压，同时，具有主电路的温度、电压、电流的检测与过热、过压、过流保护功能，并由人机交互界面实现监测参数的显示与设置，具有体积小、节能、供电稳定可靠的特点，可应用于多电平输入和电网波动较大的场合，有着广泛的应用价值和极大的市场需求。
高性能医用床单自动更换设备,机械与控制,杭州电子科技大学,高性能医用床单自动更换设备由定位夹紧机构、压滚摩擦力调节机构、驱动传动机构及控制系统、床单滚筒机构、张力控制系统、床单整平纠偏系统及无线监控系统构成。其中定位夹紧机构可使该设备固定于各种不同类型的检查床，提高了其通用性；床单张力控制系统和整平纠偏系统保证了床单的平整和偏移量，有利于提高设备运行的稳定性和可靠性；无线监控系统、驱动机构及控制系统可实现全自动的床单更换，提高了其自动化程度。
室内空间集约利用的微型住宅设计,机械与控制,重庆大学,本微型住宅产品采用了设计上的空间差和时间差策略，还加入了有限层高内竖向空间互借，结构复合与家具组合集约设计，单体模块化集合设计等方法将空间进行基于正常使用的极限压缩。并总结提出了《微型住宅室内空间集约利用手册》，让其拥有普适的社会意义。为解决高房价，为民众在不同条件，不同环境，不同要求时提供居住多样性要求的新选择；引导民众建立舒适、尊严、节能、环保的新型居住观，具有宏观指导咨询价值。
暖白光LED用高亮度红色荧光粉及其低成本制备技术,能源化工,南京工业大学,本作品针对白光LED显色指数低、发光刺眼等问题，开发了新型双有序双钙钛矿红色荧光粉，其在近紫外范围内吸收半高宽180nm，猝灭浓度50%，量子效率58.4%；经“国家电光源材料质量中心”检测，其光色接近标准红光，强度约为商粉5倍；本作品还提供了该荧光粉的低成本制备技术，该技术煅烧温度低、条件温和、不使用保护气氛，便于推广。目前，已申请发明专利3项，发表论文4篇(单篇SCI最高IF=5.97)。
地下成孔超声全景检测仪,机械与控制,三峡大学,地下成孔超声全景检测仪用于建筑基础施工中的桩孔质量检测，可实时生成桩孔的三维全景图像，并能检测桩孔的孔径、垂直度、容积、沉渣厚度等参数，解决目前此类仪器只能检测桩孔4条“十”字形侧壁线而不能检测三维全景图像导致的检测盲区问题。仪器由上位机、绞车和探头等三部分组成，采用超声换能器匀速旋转及探头匀速上升的方法进行成孔测量，技术先进，功能强大，使用方便，性价比高，填补国内空白，整体技术处于国际先进水平。
垂直起降固定翼飞行器,机械与控制,南昌航空大学,垂直起降固定翼飞行器是一种将固定翼飞机和直升机特点融为一体的新型飞行器，可以实现垂直起降和固定翼飞行。起飞时，三个电机垂直朝上，三支螺旋桨提供向上的升力，飞行器以垂直起降模式起飞；巡航时，机身前部两台电机倾转成水平，使螺旋桨动力水平向前，依靠机翼产生升力飞行；降落时，三个电机倾转成垂直向上，飞机垂直降落。
基于Internet远程可控液体反应装置,机械与控制,白城师范学院,本项目设计了一台基于Internet远程可控液体反应装置，提高液体反应实验的安全性、准确性、适应性和可操作性，降低工作人员的劳动强度，是一种集化工机械、自动控制、通讯、计算机等多学科技术于一体的新产品。本装置可以广泛的应用在实验教学、医药、化学化工等多种场合，特别适用于存在有毒、易爆等不安全因素的液体化学反应及配备中。因此本项目具有很好的社会效益和经济效益。
新型柔性触觉阵列传感器标定平台,机械与控制,合肥工业大学,新型柔性触觉阵列传感器由多个触觉传感单元组成，可广泛应用于机器人皮肤等接触压力分布测量领域，为了解决一般实验室用的触觉压力标定平台不能满足该新型传感器的标定问题，本作品设计了一种柔性触觉阵列传感器的专用标定平台方案。通过对测力传感器进行数据采集和处理，控制直线步进电机，实现力的自动、实时、连续和准确加载。标定平台量程为0～50N、精确度为0.1%F.S。还可通过与上位机连接，实现图形化的数据显示。
幻影骑士仿生步态机器人的研制,机械与控制,西南科技大学,本项目旨在对一种独特的多足步态机器人的仿生机构及其运动机理开展研究。提出的仿生机械腿的机构是由一种类似斯蒂芬森型六杆运动链组成的多连杆机构。该机构具有机构灵活、承载能力强、地形适应性强、运动惯性小、位姿逆解求解较易、便于实现腿部模块化的特点。重点解决现代非结构环境下的机器人在运动平稳性、灵活性、健壮性、环境适应性等方面问题，探索规律，获得认识。制造出高性能的幻影骑士仿生步态机器人的实物样机。
基于静电吸附技术的高空监视爬壁机器人,机械与控制,哈尔滨工业大学(威海),本作品利用基于静电吸附技术的爬壁机器人作为平台，通过无线WiFi通信方式实现远程遥控，搭载WiFi视频传输模块，用于军用、民用、警用高空侦查及人质解救的场合及有毒有害人员无法进入的探测作业场合。
基于热电转换的自供能环保型沥青路面研究,机械与控制,长安大学,基本思路：本作品利用高温环境下所导致的明显温差进行发电从而运用于路面辅助设施中，同时也缓解了在此种极限环境中发生的路面病害。创新性：首次将利用塞贝克效应制作出的温差发电元件和发电技术应用于公路工程中并且通过设置多种导热层，对路面发电系统进行优化设计提高其发电效率。应用前景：21世纪是一个以绿色能源为主导的时代，对温差发电技术的应用必将随社会的进步而不断扩展。
多功能煤矿采煤工作面支护模拟测试系统,机械与控制,安徽理工大学,"本作品为解决国内现有的支架实验台不能准确模拟支架的现场受力,不能准确模拟支架的形式、结构和特征以及不能准确还原出工作面现实工况下支架-围岩关系等问题，提出一种新型的工作面支护测试系统。本作品由液压加载装置，外接在岩石上的传感器，以及铰接板、楔形体所组成。利用可调节角度楔形体模拟采场倾角，并通过对顶板原位岩石的声发射测试了解采场支架的实际工况,进而完成了工作面支护的合理设计。"
汽车大梁装配孔机器视觉在线测量系统,机械与控制,湖北工业大学,大尺寸零部件——汽车大梁是整个底盘车架的主体，其上有许多装配圆孔，一旦大梁上装配孔孔径和孔位尺寸误差超出允许范围就会影响整个汽车装配过程。本作品提出基于机器视觉测量技术，结合伺服定位技术实现对汽车大梁装配孔的在线测量，解决了传统测量手段依靠人工、精度低、只能抽检等问题，大大提高了汽车生产装配的自动化程度。
基于3G/4G通信的多旋翼无人机,信息技术,江西财经大学,一种小型多旋翼无人机，利用3G/4G无线通信技术，实现控制信号和视频实时传输，在人不能或难以到达的场合，辅助或代替人类从事监拍、探测、空投等活动。采用目前较为成熟的多旋翼飞行器控制方式，结合固定翼飞行器的优点，结构上采用多旋翼和固定翼飞行器相结合的方式，可实现垂直起降、空中悬停等飞行功能。目前和上海大帆电气设备有限公司就电力线路巡检应用签订了研发意向书。
新型淀粉植物绿色胶囊,能源化工,华南理工大学,团队在成功研发并产业化全淀粉可食性全生物降解材料的基础上，通过对淀粉微观结构和改性修饰技术的研究，结合最新的挤出改性技术及成型加工技术，开发出与传统胶囊生产完全不同的新型淀粉胶囊生产工艺，同时将材料科学中自增强复合材料的概念与成果应用到淀粉胶囊的研制中，创新的研发出了安全、卫生、健康的全淀粉胶囊。降低了植物胶囊的生产成本和生产时间，提高了生产效率，胶囊产品市场前景广阔。
交换机电源转换装置,信息技术,齐齐哈尔工程学院校团委,本作品的电源并联连接交换机、通过转换开关SW2点接通SW1点连接电池、USB插口，电池连接升压装置，转换开关通过SW2点接通SW3点连接交换机；使用时，转换开关3的SW2端接通SW1端，电源为交换机供电，并为电池充电、为USB插口供给充电使用；当电源断电时，转换开关的SW2端接通SW3端，电池向升压装置供电，升压装置通过电路将电压升到交换机所需电压供电，还可以为USB插口供给充电使用。
便携式大功率LED手提灯,信息技术,佳木斯大学,一种亮度高，重量轻，体积小并且应用在恶劣环境下的便携式大功率LED手提灯。主要应用抢险救灾农林渔牧，刑侦防爆，探险矿山，野外施工等。重量：0.7KG功率：12W产品亮度：660-700LM色温：6500K使用寿命：50000小时有效射程：110米到130米续航时间：7小时（连续）
智能模拟灭火教学仪,信息技术,吉林农业大学,传统消防演练中存在参与人员少，演练成本高，不能实现人人都能体验灭火器的使用等缺点，由此灭火器材的教学装置成了时代所需。我们设计的智能模拟灭火教学仪，通过语音播报方式对操作者进行教学提示、超声波传感器向模拟火源发送信号、无线模块将距离传送到显示屏显示、红外模块检测软管是否对准火源，加速度传感器检测是否有扫射动作。三种模式随意选择，对操作者进行系统训练。
水生态智能感知终端,信息技术,南昌大学,为完善水生态在线自动监测手段，我们以自主研发的新型平面电磁传感器、高性能STM32开发板、分布式无线Mesh组网技术和Labview界面编程为基础，结合水面高清视频监测，GPS空间位置标定以及绿色能源的使用，研制出一套低成本、低功耗、高性能、高稳定性的实时监测终端。该终端解决了数据采集、信号处理与无线传输，终端显示和能源供应等问题，为大范围的水生态监测提供一个成本低、稳定性高的实时解决方案。
智能窗户系统,信息技术,中北大学,智能窗户系统是一个对传统窗户进行创新改造，使其实现智能控制的系统。众所周知，传统的窗户需要人为进行开关耗时又费力。当刮风下雨时，若不能及时关闭窗户，会造成雨水和风沙等进入室内，造成不必要的损失。我们的窗户实现了刮风下雨自动关闭窗户、遥控器控制窗户的开关和手机远程控制窗户等功能。较传统的窗户有很强的创新性与实用性。
称重计件工资智能结算系统,信息技术,温州大学,目前国内珍珠收购、加工等以称重计件方式结算的企业基本上采用多次称重、纸笔记录、人工输入计算机的方式进行统计和月末结算，操作繁琐、效率低。针对企业需求，自主设计了智能电子天平和专用管理软件，完成对个人信息和重量数据的采集、传输、存储、统计和结算，实现了称重计件、刷卡和工资结算的智能化、一体化、网络化，建立了一种新的工资结算模式，节约了企业人力成本，提高效率，有效地解决了传统结算方式带来的诸多问题。
