[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
基于软合并的协作频谱感知性能分析及优化,信息技术,太原科技大学,认知无线电技术作为一种可有效提高频谱利用率的技术受到国内外研究机构及研究学者的广泛关注，而频谱感知技术是实现认知无线电的关键技术之一。作品基于软合并的频谱感知技术考虑更为实际的无线信道环境，分析了协作频谱感知性能，推导了检测率和虚警率的闭合表达式，在此基础上进一步提出了一种可使检测性能提高的优化算法，为实现认知无线电技术提供有力的理论支持，最后通过实验对所提方法进行了验证。
(2+1)维Bogoyavlenskii-Schiff系统的精确解和孤子激发,数理,丽水学院,求解孤子系统的精确解，研究其局域激发模式，一直是非线性理论工作者研究的重要课题。借助Maple符号计算软件，利用一个新的投射方程结合变量分离法，得到了（2+1）维Bogoyavlenskii-Schiff系统的新显式精确解。
在噪声通道连接的量子节点中利用受控相位翻转门有效制备原子GHZ态和W态,数理,福州大学,噪声在纠缠态制备中扮演着麻烦的角色。因为光子的极化纠缠容易受到噪声干扰。在这篇论文中，我们提出了一个在噪声通道连接的量子节点中利用量子非破坏探测器(QND)和受控相位翻转门制备原子GHZ态和W态的有效方案。我们的方案同时利用了光子的频率自由度。忽略光子丢失并假设QND的效率1，我们方案的成功几率可以达到100%。此外，由于使用QND的次数有限，这将使得我们的方案在噪声数量小的情况下极其高效。
利用HIGHTSI模式模拟渤海海冰结冰速度,数理,中国海洋大学,我们对2000年渤海结冰期冰厚、雪厚变化情况进行模拟，由于模式最先应用于北极地区，我们通过模式的调整，使其能够更好地模拟出渤海海冰结冰情况，从而进一步改进模式对渤海的适应，为渤海海冰模式预测的进步推进一小步。
槲蕨根际真菌与内生真菌多样性及JJH0017菌株解钾活性的研究,生命科学,九江学院,本作品以槲蕨(Drynariaroosii)为研究对象，通过经典的真菌分离培养、生态分析、现代分子生物技术等方法，系统检测槲蕨根际及其内生真菌的种质资源和多样性水平；并以钾长石为唯一钾源，采用微生物发酵技术和钾素测定等方法，筛选出具有解钾活性的真菌菌株（JJH0017)，并对其解钾活性进行了初步研究。为解钾真菌资源的应用及真菌解钾机理得进一步研究提供基础。
山西五角枫天然种群叶片表型多样性研究,生命科学,山西师范大学,本文采用巢式方差分析、主成分分析、相关分析、聚类分析等方法对8个种群210个个体的叶片11个表型性状进行表型多样性分析。结果：五角枫不同种群表型性状存在着丰富的差异，表型分化系为29.57，8个种群的S-W信息指数和Simpson遗传多样性指数结果表明五角枫具有较高的表型多样性。主成分分析结果表明，四个主成分对变异的累计贡献率达85.73%。聚类分析8个五角枫种群可分为四个类群。
苦参总黄酮提取及其对心肌损伤的保护作用,生命科学,吉林医药学院,目前对苦参的研究多集中于生物碱，在黄酮方面的文献相对较少。本实验以苦参黄酮为研究对象，通过对比方法来确定黄酮提取的最佳工艺。同时通过建立病理性动物模型，来研究苦参总黄酮对心肌损伤的保护作用。
回、汉族老年人非酒精性脂肪性肝病现状及影响因素,生命科学,宁夏医科大学,本研究旨在了解老年人非酒精性脂肪性肝病（NAFLD）患病现状及影响因素，为老年人社区保健提供依据。研究采用典型抽样法选取老年人口比例相对较高的5个城市社区，对社区内符合标准的居民完成问卷调查、临床检查及实验室检查。研究发现：回、汉族老年人NAFLD患病率无显著差异，APOE基因多态性与回、汉族老年人NAFLD的发病无显著相关性，女性、超重者、中心性肥胖、血清甘油三酯水平高的老年人患病风险增加。
贺兰山东麓葡萄灰霉病拮抗菌的筛选,生命科学,宁夏大学,"贺兰山东麓是优质的葡萄种植基地之一，然而，在葡萄种植生产中各种病虫害频繁发生，其中灰霉病频发给葡萄的种植造成了严重的损失。在实际农业生产中，化学防治和存储保鲜占主导地位，但是这两种防治方法都会带来环境污染等问题。利用生物防治病虫害,就能有效地避免上述缺点,因而具有广阔的发展前途。本研究旨在以葡萄灰霉病的病原菌为筛选模型，采用对峙培养法筛选出葡萄灰霉病的拮抗菌株。"
蒙药金诃子中多糖物质对肺癌A549细胞抑制作用的研究,生命科学,内蒙古医科大学,蒙药金诃子不同提取部位中多糖含量的测定方法，及针对诃子多糖物质含量对肺癌细胞A549体外增殖的影响和作用机制进行研究。利用MTT方法检测诃子不同提取部位中多糖对肺癌A549细胞增殖的影像，通过倒置显微镜观察肺癌A549细胞的形态学变化，流式细胞仪测定各浓度组诃子醇提物对肺癌A549细胞作用后的周期变化。诃子多糖可抑制肺癌A549细胞的增殖活性，并诱导其凋亡。
基于易错PCR的真菌外切纤维素酶基因的人工分子进化研究,生命科学,广西大学,本研究对奶油木霉（Trichodermacremeum）菌株BM48-3的一个外切纤维素酶基因即纤维二糖水解酶Ⅰ基因进行密码子优化，构建了该基因的毕赤酵母表达载体。运用易错PCR对密码子优化的基因序列进行随机突变，构建了该基因的突变文库。通过初筛及复筛，得到了重组表达菌株，诱导产酶后，测定菌株产生的纤维素酶对底物p-NPC的活力，对得到高活突变子，对突变基因序列进行比对分析等生物信息学分析。
宁夏清真枸杞漱口液研发的前期研究,生命科学,宁夏医科大学,枸杞是宁夏地区的地道产物，有很大的营养价值和经济价值。我们的实验首先利用枸杞叶，提取其有效成分，制作成浸膏，然后通过体外抑菌、细胞培养，在体实验等一系列实验，验证其效果，可为制备新型的宁夏清真枸杞漱口液提供有效的实验依据。
不同施氮量对喜马拉雅紫茉莉生长与光合特性的影响,生命科学,西藏大学农牧学院,本项目对西藏野生喜马拉雅紫茉莉种子进行了育苗及人工栽培，开展了不同施氮量对喜马拉雅紫茉莉生长与光合特性的影响的研究，成功的掌握了喜马拉雅紫茉莉对不同施氮量的生理响应，为喜马拉雅紫茉莉的人工种植提供了理论基础。
百里香精油抗类风湿性关节炎及其环糊精包合作用研究,生命科学,西北师范大学,首次以CⅡ诱导大鼠建立CIA模型，研究了百里香精油对RA大鼠足肿胀程度和痛阈潜伏期的影响，表明百里香精油具有减低炎性组织肿胀和局部镇痛作用；在单因素试验的基础上、通过正交设计和综合评分相结合的方法优化了百里香精油与β-CD、HP-β-CD包合物的制备工艺，采用FT-IR、TLC、WAXD等手段进行了表征，并利用GC-MS对比分析了包合前后百里香精油化学成分的变化，该研究为其深度开发利用提供了参考。
苯并咪唑类化合物的合成及抗癌活性研究,生命科学,泰山医学院,本作品首先通过付克酰基化、成肟反应，贝克曼重排合成乙酰化二甲苯胺，然后通过硝化、还原、水解得到关键中间体二甲基邻苯二胺，接着利用缩合、氧化得到酰化的苯并咪唑，最后利用新发现的串联反应，合成了25个结构新颖的苯并咪唑类化合物及其衍生物，利用红外、氢谱、碳谱、质谱对化合物进行了结构表征。利用MTT法测定了化合物的抗癌活性，活性测试结果表明，此类化合物具有较好的抗癌活性，相关的机理研究正在进行。
三七中拟除虫菊酯类农药前处理方法研究,能源化工,红河学院,根据国际上对中药材中农残含量限量标准的发展形势，作品以地道药材三七为研究对象，将单因素试验与正交设计实验相结合探讨优化了中药材三七中9种拟除虫菊酯类农药的提取净化条件，建立了三七中9种拟除虫菊酯类农药残留量气相色谱分析方法，方法检出限低，能够满足各国家对拟除虫菊酯类农药残留量的检测要求，为提高中药材三七的质量安全提供技术支撑，也为出口三七应对发达国家“绿色壁垒”提供技术保障。
含铝金属有机骨架材料的制备及其性能研究,能源化工,曲靖师范学院,金属有机骨架材料（MOFs）是由含氧、氮等多齿有机配体与金属离子自组装而形成的配位聚合物。MOFs在气体吸附、气体分离、磁性材料、光学材料和催化剂等诸多方面都具有重要的应用价值。其中，MOFs在催化方面的应用是目前研究的一个热点。碳酸二苯酯是一种用途十分广泛的有机碳酸酯。碳酸二甲酯与苯酚酯交换反应时目前比较看好的DPC合成方法。DMC与苯酚酯交换法合成DPC工艺的关键就是催化剂的开发。
基于现代仪器分析技术的胡麻卵磷脂质量分析研究,能源化工,新疆师范大学,本作品以从新疆胡麻资源获取的胡麻卵磷脂为研究对象，采用紫外吸收光谱、红外吸收光谱等方法进行了鉴别，采用氧弹燃烧灰化法、高效薄层色谱、高效液相色谱等方法进行胡麻卵磷脂含磷量及磷脂酰胆碱含量的测定，完成了对胡麻卵磷脂样品的质量分析。
预结晶层调控活性层制备高效有机太阳能电池器件,能源化工,南昌大学,"本文在缓冲层与活性层中添加一层很薄的高结晶度的聚（3-己基噻吩）P3HT层，来提高聚（3-己基噻吩）/[6,6]-苯基-C61-3丁酸甲酯(P3HT:PCBM)体相异质结太阳能电池器件效率。高结晶度P3HT层能优化活性层形貌，提高短路电流。用四氢呋喃溶解制备的P3HT层结晶度最高，将器件转换效率由2.98%提高到5.14%，是已报道的P3HT:PCBM单结体相异质结太阳能电池转换效率中最高的。"
热敏变色抗紫外线多功能织物的制备与工艺研究,能源化工,西安工程大学,本课题主要研究热敏变色材料与抗紫外线功能相结合的功能型织物在纺织领域的应用，基本思路是通过实验的方法对热敏变色材料的微胶囊工艺进行研究，研制出用于织物整理的热敏变色微胶囊，将其与抗紫外线功能结合制备多功能织物，并对整理后的功能织物进行性能测试。
麦积山石窟风化砂岩的磷灰石仿生加固保护研究,能源化工,天水师范学院,该论文研究了磷灰石在麦积山石窟风化砂岩加固保护中的应用。根据仿生原理，将磷和钙引入风化砂岩并使之常温矿化生成磷灰石加固相。实验结果表明，引入的磷灰石可以将风化的砂岩碎屑重新粘结而起到加固作用。力学测试、毛细水吸收和抗风化试验结果表明，经磷灰石加固后，风化砂岩的毛细水吸收略有降低，抗压强度和抗风化能力则有明显提高。此外，由于其多孔性，引入的磷灰石基本不改变砂岩的透气性，保持了其固有的“呼吸功能”。
城镇化进程中洛阳人口与医疗需求关系的建模探讨,数理,河南科技大学,本文通过数学建模方法对城镇化进程中人口与医疗需求关系进行探讨。采用logstic模型利用MATLAB预测出洛阳未来几年的总人口发展情况。采用熵值模糊评判模型及数学模型，讨论城乡人口相互转化发展水平及影响因素。采用马氏链模型讨论了洛阳人口结构发展情况。运用线性回归模型与spss软件采用主成分分析法预测出洛阳未来几年内床位需求及影响其需求的因素。最后以某种疾病为例，详细分析某种疾病的床位需求情况
恩替卡韦与JBP485药物相互作用的分子药代动力学机制,生命科学,大连医科大学,实验应用体内体外动物模型及转染细胞模型考察恩替卡韦是否为PEPT1、OAT1/3及OCT的底物以及恩替卡韦与JBP485药物相互作用的靶点。实验数据表明恩替卡韦是OAT1、OAT3和OCT的底物，JBP485不影响恩替卡韦的吸收，但二者联用时相互抑制排泄。故二者联合用药时可适当减少特别是恩替卡韦的服用量，减少不良反应。
台湾产稚鳕科物种重新检视,生命科学,广东药学院,台湾水域稚鳕科鱼类过去的记载错漏百出，没有正确的的统计报告，加上稚鱈科无甚经济价值，所以该科鱼类一直是人们的忽略对象。近年来，由于全球气温变动异常，海洋生态多样性受到了极其大的影响。本课题的意义在于利用形态分类学对台湾产稚鳕科物种进行重新检视，发现了新物种与新纪录物种，抢救性更新台湾稚鳕科物种多样性，纠正过去台湾海域鳕形目稚鳕科鱼类的误鉴记录，并制作出一个新的台湾海域稚鳕科鱼类检视记录。
江西乐平传统戏台的建筑技艺与构造研究,机械与控制,南昌工程学院,乐平市被称为“中国古戏台博物馆”，境内有戏台400余座，而现状却不容乐观。针对这一现象，本研究从保护非物质文化遗产的角度出发，对乐平境内的典型戏台进行测绘分析，阐述了乐平传统戏台的建筑技艺与构造，并利用计算机三维技术进行模拟还原，从中剖析乐平传统戏台的独到之处以及与之相适应的重要价值，为今后的复原研究提供宝贵的文献材料。并提出对乐平传统戏台保护、传承的一些建议，以达到保护的目的。
提高空间桁架桥抗荷载能力的一种设计尝试,机械与控制,中国海洋大学,本项目提出了一种新型的空间桁架桥结构，其经济性能以及抗风和抗震性能较传统空间桁架桥都有了显著提高。
国家濒危植物长柄双花木生态与遗传多样性研究,生命科学,广州大学,本项目以国家濒危植物长柄双花木为研究对象，进行广泛的野外调查和分子生物学实验，首次应用现代数量生态学方法和首次运用分子标记方法研究长柄双花木种群的生态多样性和遗传多样性，以其为探讨该国家保护植物濒危机制和制定相应的保护措施提供科学依据。对研究金缕梅科植物系统发育和我国珍稀濒危植物的生物多样性保护等方面都有重要的科学意义。
光活化三联噻吩对红火蚁工蚁越野能力和识别追踪能力的影响,生命科学,华南农业大学,"光活化α-三联噻吩的英文名字为α-Terthienyl或者2,5-Di(2-thienyl)-thiophene，本作品主要成分来源于植物属生物农药，也称植物性农药或植物源农药。即从植物体中提取，具有抗菌、抗病毒或杀虫效果的成分，或从植物体中分离纯化有农药活性的新物质作为结构模板，进行结构的多级优化，从而制造的低毒、高效新农药。"
冠心病无创性诊断智能化方法研究与应用,信息技术,长春工业大学,通过研究人工智能理论与技术，特别是GA、BP、SVM等针对分类的智能算法，总结优缺点，对其进行改进，并将其互相融合比较，研究出适合冠心病无创性诊断问题的混合智能算法，采用混合智能算法建立冠心病智能诊断的仿真模型对临床冠心病数据进行智能化无创性诊断。该混合算法是一种有效、便捷的冠心病无创性诊断方法，为冠心病的无创性智能诊断奠定了理论基础，推广后会带来巨大经济效益和社会效益。
演化卡尔曼滤波及其在机器人定位中的应用,信息技术,中国地质大学(武汉),研究基于演化算法的滤波器设计有效方案，设计一种基于差分演化算法的自适应滤波器，实现对实际数据的快速、精确处理，最后将该理论研究应用于实体机器人智能搬运，以提高其控制精度和导航能力。
多组分颗粒在振动和旋转激励下分聚行为研究,数理,北京科技大学,本课题包括两个部分：“竖直激励下多组分颗粒系统分聚行为的耗散能解释”和“双组分颗粒在竖直振动和水平旋转共同激励下的分聚行为”。颗粒系统在外加激励下会表现出复杂的分聚特性。研究者对分聚行为提出过多种理论：如非平衡相变理论、对流理论等。但对其根本机制还没有统一的解释，也无人对竖直振动和旋转同时作用下的双组分颗粒系统分聚行为进行研究。我们的工作就是利用有限的实验装置试图解决这以上问题。
基于亚波长结构的功能光栅衍射特性研究,数理,青岛大学,本项目通过研究基于亚波长结构的功能光栅衍射机理，分析其衍射及偏振等特性，使用严格耦合波理论分析，并通过遗传算法及评价函数优化光栅结构，设计出性能优良、工艺容差良好的脉宽压缩金属介质膜光栅、偏振分束镜用金属介质膜光栅以及太阳能电池用减反射光栅。在理论研究的基础上，编写了宽光谱金属介质膜光栅优化设计分析软件，简化了金属介质膜光栅优化设计及性能分析流程。
三角坐标在概率中的应用,数理,桂林航天工业学院,用三角坐标中的点来模拟事件发生时会产生的情况。然后，用满足要求的点组成的区域的面积和整个大三角形面积的比值，来表示事件发生的概率。
岬角型海滩浅层沉积物特征的影响因素分析,数理,桂林理工大学,通过四年持续追踪研究，系统总结了两地海滩沉积物在纵向、横向、垂向上的变化规律，验证了岬角地形、物源及水动力等因素对海滩形貌特征的联合塑造作用，提出岬角型海滩潮间带砾堤-砾脊-滩角演化模式，强调风暴沉积对海滩沉积物的强大改造作用，并提出了海滩旅游资源保护的几点建议。
抗炎症蛋白PLI-γ高效分离及克隆表达,生命科学,南昌大学,项目通过类ELISA法快速筛选出最强的天然sPLA2抑制剂（PLI-γ），并通过亲和层析一步分离得到此蛋白，同时通过基因工程的方法，克隆表达此蛋白，为讨论PLI-γ与sPLA2之间的抑制作用提供物质来源。在此基础上，我们不仅从蛋白水平验证PLI-γ对sPLA2的抑制作用，还从分子的角度证明两者之间作用的特异性和相关性。为临床抗炎药物及解毒药物的研究创造出大量的理论依据。
小檗毡蚧Eriococcusberberisi雄虫形态及分化研究,生命科学,青海大学,小檗毡蚧是2011年的新种，有关该虫的雄虫尚未研究，2011年5月份~2013年3月份对其雄虫形态及分化进行了初步的系统研究。实验通过室外定点观察与室内饲养相结合的方法，采取显微观察，显微摄像，标本辅助观察等手段开展观察，对小檗毡蚧各虫期的实体特征和显微特征进行了详细的描述，并总结出了小檗毡蚧的年生活史和生活习性。能达到为我市小檗毡蚧的防治提供理论依据的目的。
植物挥发物鉴定及其对柳黑毛蚜行为的调控,生命科学,安庆师范学院,城市园林是城市生态系统的重要组成部分，是城市生态平衡和城市美化的基础。害虫防治是城市园林管理中最为重要的工作之一。国内外研究表明，害虫是通过植物挥发的某种化学物质搜寻寄主，可见利用植物挥发物防治害虫是切实可行的。本研究通过植物挥发物研制害虫诱捕器来防治园林重要害虫柳黑毛蚜，相对于化学防治，该途径更加安全有效，为城市园林害虫防治探索出一条新途径，在未来城市园林害虫防治中具有广阔应用前景。
3D/nano-QSAR技术实现多靶点抗AD分子建模与设计,生命科学,重庆大学,作品从阿尔茨海默病（AD）病理特征入手，选取多靶点进行药物分子设计。借助3D/nano-QSAR核心技术，综合使用计算机辅助药物设计方法，从小分子抑制多靶点酶活性策略、可聚集肽抑制Aβ聚集策略两个方面实现多靶点抗AD分子建模与设计。本文研究方法为抗AD分子的研究提供了较为实用的方法学和技术策略，研究结果为进一步的研发治疗AD的药物提供了新的理论依据和候选物参考。
蜘蛛兰上一种新的番茄斑萎病毒属（Tospovirus）病毒的鉴定,生命科学,云南农业大学,番茄斑萎病毒属病毒能侵染100多科，1090种植物，严重危害烟草、蔬菜、花卉等多种农作物。本研究针对云南省蜘蛛兰上发现的疑似感染Tospovirus病毒进行系统鉴定，获得病原物MRNA和SRNA全序列，通过序列比对确定该病原物是一种新的Tospovirus病毒，命名为蜘蛛兰坏死斑病毒（SpiderLilynecroticspotvirus），为病害控制提供了理论依据。
抗产气荚膜梭菌ε-毒素单链抗体的构建与筛选,生命科学,河北师范大学,"D型产气荚膜梭菌ε毒素是一种致死性毒素,可引起家畜和人的出血性肠炎、肠毒血症等，遏制畜牧业的发展并危害人类的健康。传统单克隆抗体的制备方法需要的条件苛刻、周期长、成本高、效率低，人体对异源单抗常有排斥作用。本实验以重组ε毒素为对象，建立抗产气荚膜梭菌ε毒素噬菌体单链抗体库，从中筛选具有特异结合活性的单链抗体，对其生物学特性和免疫学活性进行深入研究。为ε毒素中毒防治和分子致病机制提供新思路。"
小球藻理化协同诱变选育并提高池塘水体养殖效益的研究,生命科学,安徽农业大学,采用物理化学协同诱变的方法进行诱变并筛选出优势藻株，然后进一步对水体养殖效益的提高做了进一步研究。后期将扩大应用方面，进一步研究作用机理等方面。
紫苏PfFAD2基因克隆和品种间多态性分析,生命科学,西南大学,本研究克隆了紫苏FAD2(PfFAD2)基因的全长cDNA和全长gDNA序列，进行了核酸和蛋白水平的生物信息学分析，检测了PfFAD2基因转录表达的器官差异性，并对8个紫苏品种间FAD2基因的编码序列多态性和在种子中的转录表达差异性进行了比较研究。
七十味珍珠丸对离体大鼠心脏的抗缺氧作用的探讨,生命科学,西藏民族学院,本实验通过对大鼠手术前药物喂养七十味珍珠丸和灌流液中给七十味珍珠浓缩液两种方法，采用Langendorff离体大鼠心脏逆行灌注模型，并用张力换能器记录、观察在有氧和缺氧条件下，心脏收缩的节律和力度。结果显示术前给药组大鼠心脏抗缺氧能力（维持节律和力度的能力）有较明显的改善，灌流液中给药组大鼠离体心脏对抗缺氧有一定作用。
ACC脱氨酶活性菌株ACC30的分离、鉴定及其促生作用,生命科学,西北农林科技大学,"本文以ACC为唯一氮源,从土壤中分离ACC脱氨酶产生菌，并测定ACC脱氨酶的比活力,对酶活性最强的菌株进行了分类鉴定,同时初步研究了菌株对紫花苜蓿幼苗生长的促生作用。结果表明，筛选获得的ACC脱氨酶活性菌株ACC30,其酶活性较高，高于同类文献报道的类似菌株的酶活性，且ACC30菌株的促生效果明显,有望进一步研发成为微生物肥料，缓解我国蛋白质饲料短缺的问题。"
高原野生药材独一味的组培快繁技术研究,生命科学,青海师范大学,独一味生长于海拔3700～4500m的高原，其生长环境极为严酷，野生独一味生长缓慢，自然繁殖率低，蕴藏量有限，加之人为的肆意采集，使其野生植物资源大量减少，已被列入濒危药用植物。为了解决资源稀缺和市场需求量日益增长之矛盾，应加强人工繁殖，但人工栽培周期太长，所以组织培养成为当前最有效的繁殖手段。
miR-124对TGF-α诱导的上皮-间质转化的调控及其在前列腺癌转移中的作用,生命科学,哈尔滨医科大学,上皮-间质转化（EMT）是肿瘤细胞发生转移的重要机制。我们研究发现转化生长因子α（TGF-α）可以诱导前列腺癌细胞发生EMT现象，且探讨了miR-124在TGF-α诱导的前列腺癌EMT中的介导作用及其相关机制，阐明miR-124对前列腺癌转移的抑制作用，为临床预防前列腺癌转移提供新的思路和潜在药物
我国特有珍稀鸟类灰胸薮鹛种群生存现状调查,生命科学,乐山师范学院,灰胸薮鹛是我国西南山地的一种特有珍稀画眉科鸟类。因种群数量稀少和分布区狭窄，该鸟已被世界自然保护联盟列为全球性易危物种。目前有关灰胸薮鹛的基础生态学资料十分匮乏，这是导致该物种长期以来得不到有效保护与管理的重要原因之一。对于濒危鸟类的保护与管理而言，了解其种群生存现状是一项基础而必要的工作。本作品查明了灰胸薮鹛的种群密度、分布范围及主要受胁因素，并提出了关于该物种的科学保护建议。
常州市北市河生态修复过程中底泥微生物群落结构解析,生命科学,哈尔滨师范大学,城市与河道联系紧密，河道为城市的产生和展提供了条件。近几年，随着城市河道严重日益污染，涌现大批专家学者致力于城市河道水体污染的治理。微生物作为城市河道底泥中重要组成成分，其群落结构随着外界环境的变化而发生对应的变化，进而对环境的变化起到指示作用。本研究依托于国家水体污染控制与治理科技重大专项（2012ZX07301001）基金项目，致力研究河道生态修复过程中，底泥微生物群落结构变化的指示作用。
滇侧褶蛙体长、年龄和消化道的协同进化及其地理演化,生命科学,西华师范大学,本研究拟探讨川西南地区滇侧褶蛙的年龄结构、身体大小和消化道长度随海拔的变化。结果发现其个体大小不符合贝格曼定律，雄性不同种群间个体体长差异显著，而雌性差异不显著。性成熟个体种群间平均年龄雌雄差异都显著，年龄不影响种群间个体体长差异，变态后个体生长率不随海拔变化。雌性的消化道和相对消化道长都比雄性长，且种群间雌雄平均相对消化道长的差异随海拔增高而减小。不同种群的消化道和相对消化道长随海拔增高而变长。
两个结构简化的紫杉醇类似物的设计、模拟筛选、合成及抗癌活性研究,生命科学,四川农业大学,本研究在仔细剖析杉醇构效关系研究结果基础上，创新性的设计合成了两个仅含有四元环氧D环及C-13侧链的、结构简化的紫杉醇类似物，利用药物活性虚拟筛选软件和体外抗癌活性试验，研究目标化合物的抗癌活性，最终合成得到了两个抗癌活性显著、容易合成并且结构简单的紫杉醇类似物，为开发新型的结构简单的紫杉醇类抗癌药物奠定了基础。
不同剂量柚皮素所介导的促氧化程度及其对CNE2细胞生长的影响,生命科学,桂林医学院,"柚皮素是广泛存在于自然界的天然黄酮类化合物。国内外研究表明,许多天然黄酮类化合物具有抗氧化、抗衰老、抗病毒、抗炎症、抗癌、预防动脉粥样硬化和免疫调节等重要的生理功能。我们推测植物黄酮所发挥的生理功能有可能与其作用剂量有关，而目前国内对柚皮素单体药理作用及其作用剂量与药效关系的研究未见报道。本研究旨在探讨不同剂量柚皮素对细胞增殖与凋亡的影响及其相关作用机制，为其临床开发应用奠定理论基础和实验依据。"
细菌性软腐病菌CpxP蛋白工程菌株的构建与表达,生命科学,河北科技大学,细菌性软腐病菌是植物软腐病的主要病原细菌，存在Cpx信号转导系统。前期研究表明，肠道致病菌中的CpxP蛋白可抑制菌体侵染宿主，因此本研究利用生物工程技术手段，成功构建了细菌性软腐病菌的CpxP蛋白工程菌株，为致病机理研究提供一条崭新途径，并为新型生物农药的开发提供技术支持。该作品于2012年发表在《BiomedicalEngineering&Biotechnology》被EI全文收录。
马铃薯WRKY6基因的功能研究及转基因马铃薯“川芋10”体系的建立,生命科学,四川农业大学,本研究通过从马铃薯中克隆出StWRKY6基因，并对其功能进行了研究。首先通过凝胶阻滞实验证明在体外该蛋白能结合W盒。酵母实验证明该转录因子具有自我激活活性；通过将StWRKY6基因转入烟草中，实验表明转StWRKY6基因烟草与对照相比，能够耐受低钾胁迫。然后将StWRKY6基因转化到马铃薯品种“川芋10”诱导薯片中，建立了马铃薯“川芋10”转基因体系。为以后的该品种转基因工作奠定了基础。
体内评价黄酮衍生物Fla-CN抗糖尿病作用及其机制,生命科学,天津医科大学,本作品评价了Fla-CN对2型糖尿病小鼠药效及机制，Fla-CN在改善糖脂代谢紊乱、抗氧化、缓解炎症方面发挥重要作用。其机制之一是激活AMPK通路，进而调节AKt来改善胰岛素抵抗。通过脂代谢调节及活化AMPK效果的比较，Fla-CN强于二甲双胍，显示其调控脂代谢机制是作用于未知靶点，进而通过介导AMPK通路激活而发挥部分脂代谢调控作用，与二甲双胍通过改变AMP/ATP比值来激活AMPK的机制不同。
基于RS和GIS的小天鹅越冬生境选择研究,生命科学,湖南城市学院,本研究通过对洞庭湖湿地小天鹅生活习性、食性、迁徙、数量、主要栖息地的景观格局等方面走访和调研，利用实测数据、遥感影像、数字线划图等多源数据，基于RS、GIS、GPS技术手段，通过层次分析法确定了各生境影响因子的权重值，并建立起生境适宜性评价模型（HSI），为生态预警提供依据，提出小天鹅越冬栖息地有效保护与科学管理的对策。
新资源食品金芝菌丝的深层培养生产工艺研究报告,生命科学,山东中医药大学,金芝（茶藨子叶孔菌）是一种生长在金银花植株上的珍稀药用真菌，但产量少，通过微生物发酵工艺首次确定了金芝发酵菌丝生产工艺；通过实验证明金芝的人工发酵培养物其甾醇类、氨基酸含量高于野生子实体，所以其营养价值和保健功能是不容忽视的，且其成为卫生部批准的我国第一个发酵菌丝的新资源食品，本文对金芝菌丝的研究在国内外处于领先水平，填补了国内外同类研究的空白。
蝇蛹金小蜂的繁殖行为及寄主保存方法研究,生命科学,安徽师范大学,本作品描述了蝇蛹金小蜂的交配行为，表明了蝇蛹金小蜂雌蜂仅能进行单次交配，探讨了蝇蛹金小蜂后代性别比例与雄蜂累计交配次数、产卵者数量和寄主大小之间的关系。揭示了在繁殖寄生蜂时，应维持适当的雌雄配比，较低的产卵者密度，并选择较大的寄主，如此有助于获得较高比例的雌蜂；并揭示了蝇蛹金小蜂可以利用多种处理方式较长时间保存的寄主；指出大量繁殖蝇蛹金小蜂时，可以利用冷冻等方法对寄主进行处理保存。
ɑ7nAchR介导枸杞多糖对新生鼠氯化甲基汞慢暴露致成年神经损伤的保护作用,生命科学,宁夏医科大学,氯化甲基汞（MMC）是生活中常见的不易分解的蓄积性环境污染物，目前世界上已有环境汞污染所致汞中毒病例的报告，其引起的中毒多为慢性中毒，主要表现为神经系统症状，严重者可致死亡，氯化甲基汞可通过食物链进入人体内，其脂溶性强、易透过血脑屏障。长期接触低剂量氯化甲基汞可致生殖毒性，小胶质细胞数目减少，神经发育迟缓，精细动作障碍。
基于caspase-3途径研究H2S对OGD/R诱导神经元凋亡的影响,生命科学,井冈山大学,本作品将皮层神经元缺氧缺糖处理4小时，再复氧复糖12小时，建立氧糖剥夺/复氧模型，采用探针DCFH-DA检测神经元活性氧含量，运用比色法检测caspase-3活性和流式细胞仪检测神经元凋亡率，证实硫化氢通过抑制活性氧激活的caspase-3途径减轻氧糖剥夺/复氧诱导的神经元凋亡。研究成果为更好地理解硫化氢的神经保护作用提供了实验依据，为临床防治缺血缺氧性脑损伤（如脑中风）提供新靶点。
新型氧杂蒽型荧光探针的构筑及其对Cu2+和ClO-的识别研究,能源化工,西北大学,我们课题组通过以罗丹明和荧光素为母体，对其结构修饰和优化，构筑出系列的新型氧杂蒽型荧光探针，通过X-射线单晶衍射和核磁共振对其结构的表征以及利用密度泛函（DFT）理论计算出对粒子的识别方式。并通过离子识别、离子干扰、荧光滴定、配位比及荧光量子产率的测定，选择出高灵敏度，高选择性的荧光探针。并将其应用到环境污染、生活用水、医学药品，试剂检测等重要领域。
碳布上直接生长碳纳米管膜用于高性能全固态柔性超级电容器的研究,能源化工,华中师范大学,本作品直接在柔性碳布上生长碳纳米管膜作为电极，并组装成柔性全固态超级电容器。这种双重三维结构电极具有良好的柔韧性和导电性，由此组装的柔性电容器的质量和面积比容量分别高达106.1F/g和45.2mF/cm2，具有优异的倍率性能、超长的循环寿命、高的功率和能量密度。此外，该柔性电容器可承受超大幅度的弯曲折叠，在较大的压力以及高温工作环境下性能仍十分稳定。
