[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
大学生生命价值观在核心自我评价与挫折承受力间的中介效应,教育,齐齐哈尔大学,本研究以黑龙江省中西部地区三所高校大学生为目标群体，以生命价值观为中介变量对其在核心自我评价与挫折承受力间的中介作用进行了考察。通过对个体的生命价值观和核心自我评价进行探讨，能够深化人们的了解，为从本源上探寻提高挫折承受力的解决途径提供了有用的启示信息。
大学生职业生涯目标缺失与社会支持相关研究报告,教育,福建医科大学,本研究随机抽取的福州高校大学生为被试，同时运用修改后的“肖水源社会支持量表”与自编问卷“大学生职业目标调查问卷”进行测试，对所得数据结果进行描述性与相关分析。结果显示：○1福州大学生的社会支持在年级、是否为独生女子女方面存在差异○2大学生的职业目标缺失状况与社会支持存在负相关。并且针对研究所得的具体情况，对大学生职业生涯目标的规划从自身、家庭、学校、社会四个方面提出了相关对策和建议。
关于大学生自主创业的调查报告,教育,西南林业大学,大学生就业难的问题日益严重，成为人们关注的热点问题，国家也相继出台了一系列促进大学生就业的政策，其中提到大学生自主创业是就业的重要增长点。大学生自主创业调查采用问卷的形式进行，通过描述性分析和列联分析等统计方法，对云南省五所大学的大学生自主创业现状、看法与意向、优劣势、创业教育需求和创业素质等进行了深入分析，并针对研究中发现的大学生自主创业中存在的主要问题从教育层面提出了建议。
关于东陈村留守儿童教育问题调查报告,教育,山东科技大学泰山科技学院,留守儿童教育问题，通常是指狭义上的学业教育问题，实际上还包括基本权利保障问题、学习问题、生活问题、心理问题等等，是多种矛盾与冲突综合性的客观体现，涉及到诸如社会制度、经济发展、家庭结构、学校教育等一系列社会失调现象。通过文献回顾、个别访谈和实地调查等分别从家庭、学校、社会、政府等多个群体的角度分析了当前农村留守儿童教育中存在的问题，并对形成这些问题的原因进行了分析，针对性的提出了具体的解决方案。
锦州市城市农民工子女受教育状况的调查研究,教育,辽宁工业大学,"目前，伴随着锦州市城市化建设对劳动力的需求增大，越来越多的农民工和其子女涌入城市，成为锦州市一个特殊的群体。近年来，锦州市政府大力发展教育，使得锦州城市农民工子女的受教育数量、程度等方面不断提高。但是，锦州城市农民工子女受教育存在的问题也日益凸显。关注和解决他们受教育问题，是社会普遍关注的重要课题。作品通过对锦州市城市农民工子女受教育状况的调查研究分析，指出其存在的问题,提出合理化建议。"
特殊教育教师个人教育观念的叙事研究,教育,安顺学院,本文运用叙事研究的方法，以一位特殊教育学校教师作为研究对象。通过建构一组研究对象的教育教学故事，展现研究对象个人教育观念的具体实践形态，在具体故事的深入描述和详细的分析中尝试对研究对象个人教育观念的内涵做个人的评析。通过评析研究对象的个人教育观念，提出优化特殊教育教师个人教育观念的几点建议。
从新疆高校少数民族大学生“五观”调查看新疆青年马克思主义者的培养,教育,石河子大学,本课题以对新疆高校少数民族大学生的“五观”现状调查为基础，进行青年马克思主义者培养的研究。通过对相关研究对象的问卷调查和访谈，对新疆高校少数民族大学生对马克思主义的认知现状进行归因分析，并最终为新疆高校少数民族大学生青年马克思主义者培养路径提供一定的对策和建议。
关于山西省农村基础教育投入的调查与分析,教育,山西大学商务学院,随着近年来国家对农村基础教育的大力扶持和山西省本身经济水平的提高，山西省各地市政府在财政性教育支出上有了绝对量的增加，山西省农村基础教育现状却不容乐观。 对山西省十一个地市的关于山西省农村基础教育投入问卷调查，得出我省农村基础教育发展中存在着整体性薄弱、教育落后等问题，要改善农村基础教育的现状必须多方着力，采取切实有效的措施，规范农村基础教育的财政投入，提高农村基础教育。
哈尔滨市外来务工人员随迁儿童受教育状况调研报告,教育,哈尔滨工业大学,为了研究哈尔滨随迁儿童受教育问题，该团队对2954份有效问卷进行科学的量化分析，从五个维度揭示了哈市随迁儿童受教育现状，充分肯定了哈尔滨在政策实施、教育管理等方面的优势，也发现依然存在诸如政策局限、资源分配不公、宣传不到位等不足，并相应提出了户籍改革、教育资源配置和加强督导等针对性建议。该项目是首次从大学生视角全方位的关注哈市随迁儿童的教育问题，研究方法科学合理，内容贴近当前社会热点。
老少边穷石漠化下的教育守望,教育,云南师范大学,扶贫开发是教育发展的前提，教育发展反过来又是扶贫开发的推进剂和辅助器。而关注和守望边缘化地区的教育问题，也是当下追求教育公平这一时代命题下不得不正视的现实问题。基于此，本作品以老少边穷石漠化下的教育发展现状为研究框架，具体以滇桂交界连片特困地区为研究视角，通过调查该地区的教育发展现状、制约教育发展因素、面临问题，并提出相应的对策建议，旨在为我国当下在边缘地区的扶贫开发与教育发展提供借鉴参考。
民间艺术的抢救、活化及其在美术教育中的应用,教育,上海师范大学,本研究以民间艺术在当代美术教育中的作用为切入点，通过对糖画艺术的学习与调研，一方面参与到民间艺术的创作中，探索民间艺术在美术教育中的应用与方法；另一方面客观上做到了对民间糖画的抢救与活化，对民间糖画的创作工艺、基本图样进行了影像化的记录与研究，并对其进行创新与艺术化，进而以推动其进入中小学美术课的形式令其重新焕发活力。研究说明学习民间艺术能够促进美术专业学生创造力的提升和民族文化修养的加强。
培养当代中国孩子的领导力,教育,华东师范大学,新世界的到来、社会的进步、生命的完善，都呼唤着领导力的培养。在处于和平崛起和深度转型的当代中国，这种需要尤为迫切。本作品力图探究学生领导力培养的中国经验，通过对上海、常州等地中小学的问卷分析和深度访谈，在广泛阅读和深刻反思中，理性而务实地提出了包含策划力、实施力等为核心的领导力结构，分析了当前学生领导力培养的问题与可能，梳理出了具有中国特色的学生领导力培养路径，并对相关教育工作者提出了建议。
体育与下一代：我国青少年体育发展研究报告,教育,成都体育学院,青少年是人类的未来，肩负着国家的未来与希望。近20年来，中国青少年群体的健康状况令人担忧。中国政府高度重视青少年体育问题，先后出台了一系列法律法规，为青少年体育法制化、规范化的提高做出努力。正是基于这一现实需求，课题组以当前中国青少年体育发展情况作为研究对象，进行了大量的调查和研究，探寻现实中的问题根源，并在此基础上提出有针对性的对策和建议。
推进基础教育均衡化发展,教育,厦门大学,本项目基于厦门市基础教育改革的实证分析，研究推进基础教育均衡化发展的供给机制问题。厦门市思明区经在基础教育改革实践中，小片区管理模式、学校标准化建设、进城务工人员随迁子女入学等方面卓有成效。也存在需要进一步改善的地方。基础教育的均衡化，尤其是高位均衡尚未实现；优质的教育资源仍然稀缺，家长之间存在的潜在的竞争中；特色教育、素质教育任重道远。选择与竞争的入学机制为下一步行动提供了可能的选择。
网络使用对小学生心理健康影响的调查研究,教育,安康学院,现今，网络环境对小学生心理素质的影响，是影响未成年健康成长的重要组成部分。随着互联网的逐渐低龄化、以及其在低龄人群中的娱乐渗透性，也成为人们担忧的焦点，网络中潜在的不良环境也潜移默化的影响小学生脆弱敏感的心理。作为教育专业的大学生，我们希望能够对小学生这一特殊群体进行分析，了解小学生对网络依赖的程度等方面以及找出网络环境下小学生心理健康维护的有效途径和方法等，促进小学生心理健康的全面发展。
西安市学前教育满意度调查研究,教育,西安邮电大学, 众所周知，学前教育作为一项国民教育中的基础性教育，对幼儿的长期发展起到了铺垫作用。出于让幼儿不能输在“起跑线上”的考虑，越来越多的父母逐渐重视幼儿的幼儿园的教育问题。但是，由于幼儿园办学质量和水平多种多样，为幼儿提供的服务存在着问题。所以，我们就幼儿园的教育进行了一项满意度调查。通过深入研究，发现西安市学前教育存在的问题，并就这些问题提出解决的对策，为政府提供参考性建议。
医学生到基层医疗机构工作意愿及影响因素分析,教育,宁夏医科大学, 为了解医学生到基层医疗机构工作意愿，筛选分析影响医学生到基层医疗机构工作的因素，本研究针对高等医学院校学生进行基本调查，通过对学生基本情况、专业学习、所接受的培训、影响医学生到基层就业的因素等指标来分析医学专业毕业生是否愿意去基层医疗机构工作及主要的影响因素。针对这些主要因素提出相应的建议和意见，为引导大学生到基层医疗机构工作提供理论依据和政策建议。
粗放与集约？土地规模经营对粮食增收影响的研究,经济,西南大学,本研究以经济学、社会学等多学科的理论为视角，通过对山东青州土地规模化经营的实地调研，基于学者的前期经验研究，分析了当前农村土地适度经营过程中取得的成绩、存在的问题，剖析了主要原因，并以此为逻辑起点提出了一些针对性的对策建议，这对培养新型经营主体，加强城乡互动，以城带乡切实推进新型城镇化发展，加快社会主义新农村建设，促进工业化、信息化、城镇化、农业现代化协同发展，具有重要的现实意义。
当前经济条件下县域中小企业融资现状及对策分析,经济,武汉科技大学, 作品以湖北省150家和江苏省122家县域中小企业问卷调查数据为基础，结合实地走访、座谈获得的信息进行深入研究。结果显示，融资能力与区域经济发展水平、产业集群程度、企业规模、企业年龄等因素成正相关关系。区域经济发展水平越高、产业集群程度越高、规模越大、成立时间越长企业融资越容易，反之则越难。此外，经济条件较好地区的企业融资成本普遍低于经济条件较落后地区。
地方财政支农支出对农业技术效率影响的实证研究,经济,新疆农业大学, 本文使用中国31省市的2000～2011年的面板数据，运用基于对数型柯布—道格拉斯生产函数的随机前沿分析模型实证研究了地方财政支农支出对农业技术效率的影响。结果表明：增加地方财政支农支出可提高农业技术效率；同时农业技术效率也因地域差别呈现出显著性差异，其中东部地区农业技术效率远高于全国水平及中西部地区，建议地方政府应加大对中西部地区各省的财政农业支出。
个人所得税视角下“仇富心理”的成因及治理对策,经济,长沙理工大学,本项目是基于当前社会“仇富心理”日益凸显，个税改革成为热议的背景下提出的。通过调查研究发现，巨大的贫富差距是“仇富心理”产生的主要原因，社会分配制度、竞争机制的不公平是“仇富心理”产生的根本原因。本报告从个人所得税体制的立法、执法和纳税人三个方面提出了三方双向循环体系，即个税立法环节、个税执法环节和纳税人自身方面三方相互监督，相互协调的体系，在一定程度上有效的解决了个人所得税现存问题。
加快建立城乡统一的建设用地市场,经济,福建师范大学, 建立城乡统一的建设用地市场作为一种制度创新，对于打破城乡二元结构、推进城镇化具有重要意义。然而现阶段尚无成熟的经验和模式，需要在实践中不断完善。以十八大报告提出的“推动城乡发展一体化”方针为指导，我们就厦门市集美区的集体建设用地流转情况展开调查，分析其存在的问题和原因，在此基础上提出构建市场的基本思想、基本原则、基本步骤及政府对市场的宏观调控，为建设用地市场的运行提供对策建议。
沈阳市公交服务体系现状调查及改进方案,管理,沈阳建筑大学,第十二届全运会将在辽宁省举办，沈阳将加快经济区的规划和建设，深化经济区综合配套改革的步伐，大力保障和改善民生。而作为当代大学生，我们也应以良好的精神状态和饱满的姿态来积极支持全运。借此契机，我们对沈阳公交车系统进行了调查和研究，旨在通过实地调研和分析，提出建议和相应的解决方案，为建设沈阳城市交通做出我们的贡献。
农村产权制度改革中的基层民主建设与社会福利分配,经济,北京大学,成都农村产权制度改革一直是多方关注的焦点，本作品以改革中新成立的“村民议事会”为主要分析对象，采取理论与实证相结合的研究方式探究了这种变化对于基层民主建设与社会福利分配的作用。同时，在上述分析的基础上进一步探索了这种制度在经济学与政治学中的优势所在，对未来深化改革、进一步增加农村的社会总福利和土地收益率提出了课题组的观点。
农村土地抵押融资的实践、制约与对策,经济,湖南大学,本研究根据转型时期发展农村产业化、规模化和城乡一体化的新形势，采取实证和比较分析研究的方法，实地探访了湖南省多个试点县市，通过问卷、人员介绍等多个方式深入了解当地农民资金需求和对土地抵押融资的态度及基层金融机构从业人员所面临的处境，并根据所调查搜集到的数据、资料，简要分析了农地抵押融资的现实困境与制约因素，阐述了推进农村土地承包经营权抵押的重要性和紧迫性，并从多方面提出了实现路径和具体对策措施。
陕南移民经济状况与相关政策的评估研究,经济,陕西师范大学,陕南移民搬迁计划十年，斥资千亿，改善60万户240万灾民和贫民的生产生活条件。为丰富我国自愿性灾害移民研究，推动移民搬迁工程的顺利开展，我们在汉中、安康、商洛三市展开调研，依靠调查资料的定量分析与访谈资料的定性分析，从经济学角度出发，以收入、消费、储蓄、就业等为着力点对比分析陕南移民家庭搬迁前后的经济状况，透析其变化原因，评估政府有关经济政策的实施绩效，发现问题，提出建设性的政策意见。
实施居民收入倍增计划的制约因素与对策研究,经济,湖南大学,本文立足于经济热点问题的研究，首先利用面板数据模型对我国宏观经济数据进行实证探究，并根据深入长沙、常德、永州三个城市及乡村进行实地调研的结果，综合实证和实践的数据分析结论，总结出提高居民收入的制约因素，为居民收入倍增计划的推行夯实理论和现实基础。本文主要以湖南省为例，针对提高居民收入的制约因素提出切合实际的对策建议，为真正实现中低收入者的收入倍增进言献策。
物美价廉的蔬菜供应链建设与升级探索,经济,中国石油大学(华东),消费者在购物时多讲求“物美价廉”，可是近年来蔬菜价格呈现波动上升的趋势，“有毒蔬菜”的屡次曝光更让人们惊心不已。报告首先深入了解山东省蔬菜供应链的发展历程，总结出三种主要模式；接着对山东蔬菜供应链的运行与管理状况进行实地调研，总结出其运行管理的优点与不足；然后对山东省各级政府完善蔬菜供应链建设所做的工作进行总结；最后提出基于SCOR模型的蔬菜绿色供应链，保证蔬菜产业健康发展。
新疆少数民族贫困地区扶贫开发与农户参与研究,经济,石河子大学,新疆贫困问题具有重要性以及独特性的双重特征，贫困农户尤其是少数民族贫困农户能否通过参与扶贫活动实现脱贫是解决新疆贫困问题的关键所在。基于以上情况，本项研究利用新疆贫困地区3000户农户的入户调查数据，借助Logit回归模型，对影响新疆贫困地区农户参与扶贫活动的因素进行了计量分析。通过对计量结果进行的分析，发现了影响新疆贫困地区农户参与扶贫活动的关键所在，结合理论与实际提出了多条可行性建议。
呼和浩特市打造我国“云谷”的前景与对策探析,经济,内蒙古师范大学,本文从产业结构的角度分析呼和浩特打造“云谷”的背景、前景、优势条件，并提出打造呼和浩特”云谷”的政策建议，把呼和浩特打造成为我国的“云谷”中心。内蒙古师范大学盛乐校区，位于和林格尔县盛乐经济园区，毗邻盛乐云计算产业园区。内蒙古自治区急需进行产业结构优化升级，这是一个大背景。2013年4月，为云计算电压测试，学校停电三次，由此有感而写，建设呼和浩特云计算中心想法。“云谷”，“草原硅谷”。
基于生态西藏背景下西藏林芝地区鲁朗国际小镇建设的探讨,经济,西藏民族学院,鲁朗在藏语中是“神仙居住的地方”，其得天独厚的旅游资源是鲁朗的宝贵财富。西藏林芝地区应该与时俱进，抓住当前国家大力打造西藏成为国际精品旅游目的地的机会，把鲁朗的神奇资源应该转化为现实的财富，以建设国际生态旅游小镇为契机，以“村寨接待模式”，大力发展当地特色的生态民俗文化旅游经济，在实现当地的经济发展和生态保护相统一的基础上，从而提高人民的生活水平。
农民专业合作社：探索、困境与出路,经济,青岛理工大学, 基于对“青岛龙马农产品专业合作社”的实地调研，报告从运营模式、运行效果等方面系统考察其发展历程，并深入分析发展困境与契机；然后借鉴“日本农协”及“美国新奇士桔农协会”经验，结合龙马合作社本身特点与发展实际，并中央一号文件鼓励和支持“家庭农场”发展的契机，提出拓宽业务范围、组织联合模式及在产品与管理等方面的创新是其根本出路，并从政府与合作社两个层面分别提出相应的对策建议。
农民专业合作社参与“农超对接”的影响因素分析,经济,西北农林科技大学, 本文在对陕西省五县（区）的295个农民专业合作社实地调研与农民专业合作社参与“农超对接”的案例分析的基础上，分析农民专业合作社在“农超对接”过程中所承担的角色和重要性。基于认知视角，研究农民专业合作社对“农超对接”的参与意愿及影响因素，从而得出解决问题的方法、途径”。进而从疏通对接渠道、加强政策扶持等四个方面提出相关政策和建议，促进农产品流通体系的改革和完善。
水族活化石,经济,遵义师范学院,本作品的展开，是为宣扬马尾绣这一水族独特的民间工艺文化，展示其鲜活的艺术生命力和恒久的文化积淀，为继承和弘扬优秀的传统文化、维护灿烂多姿的民族文化多样性提供绵薄之力。
我国光伏业可持续发展协调共享机制构建与模拟效应研究,经济,华北电力大学(保定),我国光伏业发展形势严峻。光伏产业产能过剩，内需不足；上网电价和补贴政策未能完善。研究切实可行的光伏业发展策略成为我国光伏业发展的重要课题。本研究在到保定市发改委、供电局、英利集团和易县光伏发电项目实地调研的基础上，提出拉动内需，协调利益攸关方利益关系的观点，提出了区域光伏装机配额制、效益共享型上网电价政策、动态协调性补贴政策、特殊地区特惠政策构建了一套光伏业可持续发展协调共享机制。
浙江农业跨区域经营模式研究,经济,浙江财经大学,"在浙江经济快速发展和城市化的推进过程中,农业资源方面的比较劣势日益显现。如何利用国际国内两种资源,拓展浙江农业发展空间,是浙江农业可持续发展所面临的主要问题。为了充分发挥浙江省农业比较优势,顺应现代农业发展规律,发展跨区域农业产业化经营是扩展浙江农业发展空间,开辟农民增收致富的有效途径。"
正定“文化绿道”及“绿道经济”建设探究,经济,河北经贸大学,报告来源于2012年暑期社会实践调查成果，笔者亲身走访了成都寿安绿道，对绿道基本建设、绿道功能、绿道经济效应有一定体会和认识。通过广泛阅读文献，走访正定，最后写成此报告。报告针对正定的文化产业，以绿道为载体，以文化建设为落脚点，打造正定的特色“文化绿道”。报告以“正定文化”为切入点，以“绿道”为核心，吸取国内外先进经验，对正定发展绿道旅游产业，区域发展提出一些想法。
多维度区域经济质量评估模型,经济,内蒙古大学,"区域经济是整个国民经济的一个重要组成部分,其质量直接决定该地区人民的生活水平。本文以内蒙古自治区为例，建立一套适用于内蒙古自治区的经济质量评估模型。该模型从经济与硬实力、软实力、环境、民生四个维度及18项与内蒙古自治区区域经济质量发展相关的指标，运用AHP层次分析法，以内蒙古自治区3个盟市的经济为例进行了质量评估。此外，希望该模型的建立能引发学者对制定适用于多省市地区经济质量评估体系的思考。"
鄂豫两地企业社会责任的认知与践行研究,经济,武汉科技大学, 本文基于对湖北省汉川市和河南省漯河市的实地调研，分别从企业、政府、消费者、非政府组织和新闻媒体等利益相关者视角对比分析了两地企业社会责任的认知和践行现状，利用AMOS软件构建了企业社会责任测评模型，对企业特征与社会责任之间的关系、员工特征与社会责任认知之间的关系进行实证研究，并深入剖析了当前鄂豫两地企业社会责任存在的问题及成因，针对性提出推进企业社会责任建设的相关对策与建议。
房产资本化背景下政策性因素与房价关系的研究,经济,福州大学,研究中国房产资本化问题，分析我国高房价的成因；建立VAR（向量自回归模型）和半参数模型，揭示政策性因素与房价的关系。研究发现：固定的汇率制度和货币投放量增长过快是房价上涨的经济大环境；在短期，信贷、税收等政策性因素与房价相互影响；长期来看，商品房销售量增长对房价的影响最大，房地产行业税收增长对房价的影响是负向的，信贷增长对房价上涨的影响呈现出凹函数性质。
构建政府主导、农户参与的农业面源污染治理机制,经济,福建师范大学, 调查报告从农业微观经济主体——农户的独特视角，分析闽江流域面源污染产生的根源；参考国内外现有经验，在比较分析四种农业面源污染治理机制的基础上，提出以政府主导、农户参与型治理机制作为闽江流域面源污染治理的主导模式。课题组选择典型区域采取随机抽样方式调查农户参与污染治理的意愿；提出构建政府主导、农户参与型农业面源污染治理机制的政策思路与对策。
关于城市轨道交通与其他低碳出行方式驳接的调查报告,经济,华东交通大学,随着南昌城市的快速发展，交通拥堵问题也越来越严重。建立完善的低碳交通体系成为了助推南昌创建国家低碳经济试点城市的必然选择。本作品利用交通碳排放模型预测南昌市未来交通碳排放量，提出了实施低碳交通的具体措施。团队在对南昌地铁1号线进行实施调查的基础上，探究了驳接问题，通过数据分析，科学地计算出公共自行车的投放量，并研究了城市轨道交通、公共汽车和公共自行车三大低碳交通体系之间的最优驳接点。
关于微博营销的调查与分析,经济,云南财经大学,本项目研究微博营销现状并提出建议。项目组首先在现有资料的基础上，总结了微博营销的概念、模式、SWOT分析及其与其他网络营销形式的比较；其次，项目组以昆明地区为例，通过问卷调查的方式，从微博用户、店主及微博广告平台三个层面了解微博营销现状及所存问题；最后，项目组针对所存在的问题，分别提出提高昆明微博营销发展水平的对策建议。
经济开放、出口退税与全要素生产率,经济,中央财经大学,本文构建两类厂商模型，实证检验出口退税等对全要素生产率（TFP）的影响。结论如下：第一，入世以来，中国TFP有一定增长，但存在地区差异，技术进步贡献较高；第二，出口退税对TFP及组成影响为负，体现为一种补贴，没有产生内生激励；第三，对外开放对TFP的溢出效应不明显；第四，人力资本对TFP影响为正，投资率则显著为负，表明中国经济增长质量是粗放型的。
平顺太行水乡社区居民参与旅游业的调查与研究,经济,山西财经大学, 本次调查研究是将书本知识与课外调研相结合，将田间考察与资料调研相结合，将问卷调查与实地考察访问相结合等形式进行的调查研究。收集数据来分析调查，通过对平顺太行水乡社区居民参与旅游业的调查研究，从而了解平顺太行水乡社区居民参与旅游业的总体态势和存在的问题，进而提出促进社区居民更好地参与旅游业的发展对策。从而达到发挥平顺区位优势、推动老少边贫地区发展的目的。 
我国对外贸易与经济增长的互动影响：理论与实证,经济,云南财经大学,基于当前的理论背景和实践发展的需要，本文在查阅大量文献的基础上，运用定性描述和定量分析等方法对我国的对外贸易与经济增长的关系进行了研究，结果表明我国的对外贸易与经济增长之间具有不对称的相互反馈关系。针对这一结论，文章结合当前我国外贸发展的现状进行了全面、深刻的问题剖析并提出了相应的政策启示，这对制定符合我国国情特点的对外贸易发展战略、转变我国外贸及经济发展方式等都具有重要意义。
西南民族社区的“脱贫梦”,经济,重庆大学,调查以西南民族社区典型：贵州雷山西江苗寨为调查对象，从包容性发展视角出发，基于平等共享脱贫机会和社会科教文卫同步发展两方面，对当地实施旅游扶贫前后的变化进行考量，反映其农民收入增长、基础设施改善等方面的成就，也发现了其收入差距扩大、脱贫机会不均等和环境破坏方面的不足，据此总结出当地旅游扶贫模式可取经验和努力方向，并引申出对更好地实现西南民族社区“脱贫梦”的思考。
新疆产业用水变化的驱动效应分解及时空分异,经济,新疆财经大学, 通过基于拉斯拜尔指数的完全分解模型，构建产业用水变化的全要素分解模型，测度了2005年-2010年新疆经济增长、产业结构与用水强度对产业用水的驱动效应，分析了水资源消耗的反弹效应，计算了各种效应的贡献率，对各种效应进行时间分异分析。运用全要素分解模型测度了新疆15个地州经济增长、产业结构与用水强度对产业用水的驱动效应，并对各种效应进行空间聚类，进而对各种效应进行空间分异分析。
 场域视角解析社区老年人需求,社会,贵州职业技术学院,贵阳市观山湖区碧海社区是贵阳市启动城市基层管理体系改革试点工作的首批试点单位，具有典型性。同时，社区老年人生活是整个社会生活当中的一个重要的组成部分，通过了解老年人的需求可以从侧面了解社会状况，从而，为进一步推进社会的健康、和谐发展做出贡献。
 行善之志，是否聆听“我”愿 ?,社会,中南财经政法大学,"此次调研从志愿服务受众角度出发，采用人大代表访谈、参观荆楚联盟总部、实地探访社区和志愿者、采访在校大学生、网上收集资料、查阅文献资料、与校内教授交流等方式，对志愿服务的满意度进行了调查分析和探索。调查数据结果显示志愿服务受众的实际效益缺乏必要保障，受众对志愿服务的满意度欠佳。对数据分析后，我们总结出受众对志愿服务满意度不高的原因，并提出了解决方案,以期提高受众群体对志愿服务的满意度。 "
安徽省新型农村居民社会养老保险实施状况调查研究,社会,安徽中医药大学,为进一步深入了解安徽省农村居民社会养老保险现状，笔者组织大学生利用“三下乡”等社会实践机会，选择了六安金寨县等5个新农保试点县和6个县市基层小范围抽样作为调研对象，对我省试点县新农保实施现状进行了实地走访调研，掌握了大量的第一手资料，通过对资料的综合分析，为我省农村居民社会养老保险的顺利进行提供一些理论和决策依据，对存在的问题提出针对性建议，为我省新农村社会保障制度改革提供现实依据。
城市化进程中失地农民角色认同与社会适应的研究,社会,西北师范大学,为调查城市化进程中失地农民角色认同与社会适应的现状，并探讨二者之间的关系，本研究采用问卷调查法对兰州市安宁区部分失地农民进行调查。结果发现，失地农民对市民角色认同度处于中等水平，在认知、情感和行为上正逐步完成角色转换任务；失地农民存在社会适应不良问题；社会适应与角色认同的“角色认知”和“角色体验”方面存在显著性相关，相关系数分别为0.16和0.28。
城乡一体化进程中苏南乡村居民点集聚方式研究,社会,苏州科技学院,针对城乡一体化进程中影响苏南地区乡村居民点集聚方式变化的主要因素与亟需维育的乡村特质（包括农业产业保育、农耕文化传承等）进行分析，在新视角下提出乡村居民点集聚方式评价思路和方法，以苏州黎里镇浦南片区为实例进行验证，就保障乡村居民点合理集聚的相关政策建议等方面进行探讨。
城镇化进程中城乡生活方式的差异比较研究,社会,湖北工业大学,本课题主要立足于社会学的学科视角，采取混合研究的途径与方法，运用文献搜集、问卷设计与调查、统计分析等技术手段，以问卷调查为手段获取第一手数据资料.从理论层面，探讨了城乡生活方式的差异性，并对生活方式的影响因素进行了分析;从实证层面分析了城乡居民生活方式的差异性。试图为促进农村居民生活方式城市化、推进新型城镇化与提升城镇化质量提供政策建议与参考依据。
大众传媒表达的价值观对于受众影响的调查,社会,内蒙古师范大学,本文借鉴了国外高等教育对于手机媒体文化的先进理论和经验，选取大学生为主要研究对象，同时从侧面了解学校、老师和社会等方面对于微信影响的看法，决定对内师大的学生进行抽样调查，同时结合随机采访。然后再结合相关学者和组织机构的建议重新整合，以做出对中国现有教育体制改革有利的引导，尝试将微信与教育和民族教育想结合，力图探索出全新传播和弘扬蒙古语和蒙古族文化的模式。
当代彝族青年学生母语遗忘现状调查及对策研究,社会,成都理工大学,本项目采用文献研究法、问卷调查法和深度访谈法等方法，对彝族青年学生母语文化遗忘问题进行调查研究。对四川省成都市和凉山州800名大学生和高中生进行非概率随机分层抽样调查，回收问卷660份，其中有效问卷628份。通过统计分析问卷，梳理深度访谈记录，掌握了当代彝族青年学生母语文化遗忘现状，探讨了遗忘问题产生的原因。在此基础上，运用索罗金与帕森斯的社会变迁理论予以分析，提出了三大方面的对策建议。
社会转型期新生代农民工政治观及其影响因素的实证研究,社会,湛江师范学院,采用自编问卷《新生代农民工政治观问卷》对收集的1552个有效样本采用相关分析、方差分析、探索性与验证性因素分析等方法进行分析，结果发现：（1）问卷包括政治信心，政治宽容，政治行为，政治满意四个维度。（2）新生代农民工政治观在整体上不够积极。（3）新生代农民工的问卷总分在文化程度、月收入状况上存在显著性差异。（4）国家的发展、政府办事效率、社会风气、个人生活状况及国家政策是影响政治观的最主要5个因素
关于对餐桌浪费现象的社会调查报告,社会,呼伦贝尔学院,本论文是针对如今社会一大社会热点问题，“餐桌浪费”现象的深度研究，通过走访学校食堂以及学校附近周边餐馆，发放调查问卷，本着从民生出发，紧紧抓住了社会热点问题，探究人们就餐浪费所带来的一系列问题与产生原因，并提出全面详细的应对措施。目的是呼吁人们去节约粮食，杜绝浪费，响应“光盘行动”。
关于南昌市社区文化建设及居民满意度的调查报告,社会,江西财经大学,为积极响应党的十七大以及十八大中提及的文化强国，本课题组旨在了解南昌市城市社区文化建设现状以及居民对其满意度，对南昌市六个行政区的社区居民以及社区工作者进行调查，为了更全面的了解南昌城市社区文化建设情况，我们对杭州、北京、上海、广州四个较为发达地区的社区居民也进行了调查。通过调查以及数据分析，发掘社区文化建设中的成就以及问题，并提出若干有效建议。
贵州新型农村合作医疗问题调查研究,社会,贵州民族大学,本研究报告是以贵州盘县为研究对象，通过实地调研和深入研究，从新农合宣传工作、政府投入、基金监管及保值增值、基本药用目录、医疗费用、医生队伍建设、医疗设备建设等进行全方位、深层次分析，发现新农合制度在运行过程存在的困难和问题，找出问题存在的原因，并提出完善新型农村合作医疗制度的意见及建议，为促进农村医药卫生事业的健康可持续发展提供借鉴，以为农民群众提供安全、有效、方便、价廉的医疗卫生服务作保障。
国民消费观念的转型调查分析,社会,中国人民解放军军械工程学院,首先深层次系统地分析了我国当前居民消费的转型情况。其次又对国民消费观念的转型中居民的消费习惯、居民的消费选择和去向、导致居民消费观转型的因素等问题作了阐述，并总结出影响居民消费转型的“七大因素”。最后，提出了加强消费制度建设、进一步提高居民素质、完善社会保障体系、加大娱乐消费的管控力度、继续培育扩大新的消费增长点和采取奖惩措施等六大对策。
囧途：草根NGO与乡村治道变革,社会,太原理工大学,蒲韩乡村社区是一个由乡村精英主导的、村民自主参与的、全方位进行乡村改造和治理实践的、集经济合作和公共服务为一体的、跨乡镇的、内生式新型农村社区组织。本作品对蒲韩乡村社区的性质进行了界定，探析了社区的内、外循环机制及乡村治道。同时提出乡村草根NGO的脆弱性与面临的挑战。课题组认为，乡村善治离不开草根NGO的参与，应探索从二元治理到多元共治的新道路。 
